Altium Designer Pick and Place Locations
C:\Users\Admin\Documents\GitHub\Altium-Public\eos26_motherboard_basic\Project Outputs for eos26_motherboard_basic\Pick Place for eos26_motherboard_basic.txt

========================================================================================================================
File Design Information:

Date:       17/09/20
Time:       20:25
Revision:   5eaa90e7b3329be078c771024790641ace461d79
Variant:    No variations
Units used: mil

Designator Comment                         Layer       Footprint                          Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                     
TP5        5002                            TopLayer    KSTN-5002                          1075.000      2125.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
J10        FTSH-108-02-F-DV                TopLayer    LIBRARYSOURCE=Vault                4900.000      2850.000      90       "CONN HEADER SMD 16POS 1.27MM"                                                                                                                                  
TP4        5002                            TopLayer    KSTN-5002                          1075.000      1950.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
TP6        5002                            TopLayer    KSTN-5002                          1075.000      2325.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
R30        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              2910.000      2705.000      180      ""                                                                                                                                                              
R23        DNP                             BottomLayer RESC2013X55X40NL15T20              4625.000      3650.000      180      ""                                                                                                                                                              
R14        3224W-1-105E                    TopLayer    FP-3224W-MFG                       4750.000      3800.000      90       "TRIMMER 10K OHM 0.25W J LEAD TOP"                                                                                                                              
R20        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              4850.000      3650.000      180      ""                                                                                                                                                              
R24        DNP                             BottomLayer RESC2013X55X40NL15T20              4625.000      3975.000      180      ""                                                                                                                                                              
R15        3224W-1-103E                    TopLayer    FP-3224W-MFG                       4750.000      4125.000      90       "TRIMMER 10K OHM 0.25W J LEAD TOP"                                                                                                                              
R21        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              4850.000      3975.000      180      ""                                                                                                                                                              
TP35       5002                            TopLayer    KSTN-5002                          4950.000      3550.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
X1         pga_socket_208_highspeed_cutout TopLayer    pga_socket_208pin_highspeed_cutout 3100.000      2805.000      0        ""                                                                                                                                                              
R1         3224W-1-103E                    TopLayer    FP-3224W-MFG                       1275.000      1700.000      0        "TRIMMER 10K OHM 0.25W J LEAD TOP"                                                                                                                              
R50        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              1325.000      1750.000      360      ""                                                                                                                                                              
R52        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              1325.000      1650.000      180      ""                                                                                                                                                              
R9         3224W-1-103E                    TopLayer    FP-3224W-MFG                       1500.000      1700.000      0        "TRIMMER 10K OHM 0.25W J LEAD TOP"                                                                                                                              
R36        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              1550.000      1750.000      360      ""                                                                                                                                                              
R37        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              1550.000      1650.000      180      ""                                                                                                                                                              
R51        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              1325.000      2775.000      360      ""                                                                                                                                                              
R53        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              1325.000      2625.000      180      ""                                                                                                                                                              
R22        DNP                             BottomLayer RESC2013X55X40NL15T20              4625.000      3325.000      180      ""                                                                                                                                                              
R13        3224W-1-103E                    TopLayer    FP-3224W-MFG                       4750.000      3475.000      90       "TRIMMER 10K OHM 0.25W J LEAD TOP"                                                                                                                              
R19        "RES SMD 0R 0805"               BottomLayer RESC2013X55X40NL15T20              4850.000      3325.000      180      ""                                                                                                                                                              
R4         3224W-1-104E                    TopLayer    FP-3224W-MFG                       1275.000      2675.000      0        "TRIMMER 10K OHM 0.25W J LEAD TOP"                                                                                                                              
J5         M20-8760242R                    TopLayer    FP-M20-8760242R-MFG                1825.000      3850.000      270      "CONN HEADER SMD 4POS 2.54MM"                                                                                                                                   
J1         105-0752-001                    TopLayer    FP-105-0751-001-MFG                1400.000      1275.000      90       "CONN TIP JACK SOLDER WHITE"                                                                                                                                    
U4         TPS7A8001DRBT                   BottomLayer DRB0008A_V                         1450.000      3580.000      180      "Single Output LDO, 1 A, Adjustable 0.8 to 6 V Output, 2.2 to 6.5 V Input, with High-Bandwidth PSRR, 8-pin SON (DRB), -40 to 125 degC, Green (RoHS & no Sb/Br)" 
U5         TPS7A8001DRBT                   BottomLayer DRB0008A_V                         1450.000      3955.000      180      "Single Output LDO, 1 A, Adjustable 0.8 to 6 V Output, 2.2 to 6.5 V Input, with High-Bandwidth PSRR, 8-pin SON (DRB), -40 to 125 degC, Green (RoHS & no Sb/Br)" 
TP13       5002                            TopLayer    KSTN-5002                          1075.000      3625.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
TP15       5002                            TopLayer    KSTN-5002                          1075.000      4000.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
TP12       5002                            TopLayer    KSTN-5002                          1075.000      3450.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
TP14       5002                            TopLayer    KSTN-5002                          1075.000      3825.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                                      
R6         3224W-1-103E                    TopLayer    FP-3224W-MFG                       1280.000      3500.000      360      "TRIMMER 10K OHM 0.25W J LEAD TOP"                                                                                                                              
