Comment,Description,Designator,Footprint,LibRef,Quantity,Manufacturer Part Number

"CAP CER 4.7uF 0805 X7R","","C1, C3, C4, C7, C10, C13, C14, C15, C16, C17, C22, C23, C25, C26, C29, C30, C31, C32, C37, C38, C39","CAPC2013X140X50NL20T25","CMP-2007-04677-1","21",""
"CAP CER 100nF 0603 X7R","CAP CER 0.1UF 16V X7R 0603","C2, C5, C6, C8, C9, C11, C18, C19, C20, C21, C24, C27, C28, C33, C34, C35, C36, C41, C45, C46, C47","FP-CC0603-DA-MFG","CMP-03422-000030-1","21","CC0603KRX7R7BB104"
"CAP 470nF 10V 0805(2012)","CAP 470nF 10V ±5% 0805 (2012 Metric) Thickness 1.45mm SMD","C12","CAPC0805(2012)145_M","CMP-1036-04629-1","1",""
"CAP CER 10nF 0603 X7R","Chip Capacitor, 10 nF, +/- 10%, 50 V, -55 to 125 degC, 0603 (1608 Metric), RoHS, Tape and Reel","C40, C42, C43, C44","CAPC1608X90X40ML10T20","CMP-2100-03600-1","4",""
"105-0752-001","CONN TIP JACK SOLDER WHITE","J1","FP-105-0751-001-MFG","CMP-09586-000001-1","1","105-0751-001"
"105-0753-001","CONN TIP JACK SOLDER WHITE","J2","FP-105-0751-001-MFG","CMP-09586-000001-1","1","105-0751-001"
"M20-8760242R","CONN HEADER SMD 4POS 2.54MM","J3, J4, J5","FP-M20-8760242R-MFG","CMP-15831-000023-1","3",""
"FTSH-108-02-F-DV","CONN HEADER SMD 16POS 1.27MM","J6, J7, J8, J9, J10, J11, J12","LIBRARYSOURCE=Vault","FP-FTSH-108-02-F-DV","7","FTSH-108-02-F-DV"
"22-23-2021","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 10.67 mm, Tail Length 3.56 mm, 0 to 75 degC, RoHS, Bulk","P1","MOLX-22-23-2021_V","CMP-1704-00001-3","1",""
"5-146280-2","Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.21 mm, Tail Length 3.05 mm, -65 to 105 degC, RoHS, Bulk","P2","TECO-5-146280-2_V","CMP-2000-07492-1","1",""
"3224W-1-103E","TRIMMER 10K OHM 0.25W J LEAD TOP","R1, R2, R3, R5, R6, R7, R8, R9, R10, R11, R12, R13, R15","FP-3224W-MFG","CMP-07234-000002-1","13","3224W-1-103E"
"3224W-1-104E","TRIMMER 10K OHM 0.25W J LEAD TOP","R4","FP-3224W-MFG","CMP-07234-000002-1","1","3224W-1-103E"
"3224W-1-105E","TRIMMER 10K OHM 0.25W J LEAD TOP","R14","FP-3224W-MFG","CMP-07234-000002-1","1","3224W-1-103E"
"RES SMD 100R 0805 1%","","R16, R17, R18, R28, R61, R62, R63","RESC2013X55X40NL15T20","CMP-2001-04723-1","7",""
"RES SMD 0R 0805","","R19, R20, R21, R29, R30, R36, R37, R50, R51, R52, R53","RESC2013X55X40NL15T20","CMP-2001-04723-1","11",""
"DNP","","R22, R23, R24","RESC2013X55X40NL15T20","CMP-2001-04723-1","3",""
"RES SMD 10K 0603","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R25, R26, R27","RESC1609X55X30LL15T15","CMP-2000-07452-1","3",""
"RES SMD 1R 0805","","R31, R32, R33, R34","RESC2013X50X30NL20T20","CMP-2001-04897-1","4",""
"DNP","DNP","R35, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R54, R55, R56","RESC1609X50X30LL10T20","CMP-2000-03820-1","16",""
"DNP","Chip Resistor, 0 Ohm, +/- 5%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R57, R58, R59, R60","RESC1608X55X30LL10T20_A","CMP-2000-06686-1","4",""
"5002","Test Point, White, 1-Pin THD, RoHS, Bulk","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP19, TP20, TP21, TP22, TP23, TP25, TP27, TP28, TP30, TP31, TP32, TP33, TP34, TP35","KSTN-5002","CMP-2000-05182-1","31",""
"5001","Test Point, Black, 1-Pin THD, RoHS, Bulk","TP18, TP24, TP26, TP29","KSTN-5001","CMP-2000-05181-1","4",""
"LM27762DSSR","IC REG CHARGE PUMP ADJ DL 12WSON","U1","FP-DSS0012B-MFG","CMP-04918-000139-1","1",""
"TPS7A8001DRBT","Single Output LDO, 1 A, Adjustable 0.8 to 6 V Output, 2.2 to 6.5 V Input, with High-Bandwidth PSRR, 8-pin SON (DRB), -40 to 125 degC, Green (RoHS & no Sb/Br)","U2, U3, U4, U5","DRB0008A_V","CMP-0395-00597-2","4",""
"pga_socket_208_highspeed_cutout","","X1","pga_socket_208pin_highspeed_cutout","pga_socket_208_highspeed_cutout","1",""
