Altium Designer Pick and Place Locations
C:\Users\daniel\Documents\GitHub\Altium-Public\isg_cena_chip_wirebonding_board\Project Outputs for isg_cena_chip_wirebonding_board\Pick Place for isg_cena_chip_wirebonding_board.txt

========================================================================================================================
File Design Information:

Date:       07/02/23
Time:       15:02
Revision:   7666bc77ca04a9c07b167bb74ca6aa6976c20f88
Variant:    No variations
Units used: mil

Designator Comment          Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                    
R2         DNP              BottomLayer FP-ERJ6EN-IPC_A                2000.000      1700.000      0        DNP                                                                                                                                            
C36        100n             BottomLayer FP-0603-L_1_6_0_15-W_0_8-IPC_C 2260.000      1730.000      270      "Ceramic Capacitor General Use 1uF ±10% 50V X7R 0603"                                                                                          
C35        100n             BottomLayer FP-0603-L_1_6_0_15-W_0_8-IPC_C 2260.000      1885.000      90       "Ceramic Capacitor General Use 1uF ±10% 50V X7R 0603"                                                                                          
C34        100n             BottomLayer FP-0603-L_1_6_0_15-W_0_8-IPC_C 2269.000      2001.000      180      "Ceramic Capacitor General Use 1uF ±10% 50V X7R 0603"                                                                                          
C33        100n             BottomLayer FP-0603-L_1_6_0_15-W_0_8-IPC_C 1730.000      2380.000      0        "Ceramic Capacitor General Use 1uF ±10% 50V X7R 0603"                                                                                          
C32        100n             BottomLayer CAPC1050X55X23ML05T13          2325.000      1190.000      90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
C31        100n             BottomLayer CAPC1050X55X23ML05T13          2325.000      1370.000      90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
C30        100n             BottomLayer CAPC1050X55X23ML05T13          2325.000      1550.000      90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
C29        100n             BottomLayer CAPC1050X55X23ML05T13          2325.000      1730.000      90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
C28        100n             BottomLayer CAPC1050X55X23ML05T13          2325.000      1910.000      90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
C27        100n             BottomLayer CAPC1050X55X23ML05T13          1675.000      1750.000      270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
C26        100n             BottomLayer CAPC1050X55X23ML05T13          2325.000      2090.000      90       "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
C25        100n             BottomLayer CAPC1050X55X23ML05T13          1675.000      1930.000      270      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                              
