Altium Designer Pick and Place Locations
C:\Users\Admin\Documents\GitHub\Altium-Public\isg_eos_control_board_xem3001\isg_eos_control_board_xem3001\Project Outputs for isg_eos_control_board_xem3001\Pick Place\Pick Place for isg_eos_control_board_xem3001.txt

========================================================================================================================
File Design Information:

Date:       22/02/21
Time:       19:48
Revision:   5409096efa530a3c14987646c8c07b964c9e4f20
Variant:    No variations
Units used: mil

Designator Comment                      Layer    Footprint              Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                             
Q1         BSH105,215                   TopLayer NXP-SOT23_M            1450.000      3140.000      180      "N-Channel Enhancement Mode MOS Transistor, 20 V, 1.05 A, -55 to 150 degC, 3-Pin SOT23, Tape and Reel"                                                                                  
P?         TSW-102-07-S-S               TopLayer SMTC-TSW-102-07-S-S    1250.000      4650.000      0        "Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.38 mm, Tail Length 2.54 mm, -55 to 125 degC, RoHS, Bulk"                                                                          
D1         B330A-13-F                   TopLayer FP-SMA-MFG             4475.000      1325.000      270      "DIODE SCHOTTKY 30V 3A SMA"                                                                                                                                                             
U5         TPS22929DDBVR                TopLayer DBV0006A_M             3210.000      2040.000      0        "Low Input Voltage, 1.8 A Single Channel Load Switch with Controlled Turn-On, 1.8 V Logic Compatible, 1.8 A, 1.4 to 5.5 V, -40 to 85 degC, 6-pin SOT-23 (DBV), Green (RoHS & no Sb/Br)" 
R21        "RES SMD 330 OHMS 0603"      TopLayer RESC1609X50X30LL10T20  3150.000      1875.000      270      ""                                                                                                                                                                                      
R20        DNP                          TopLayer RESC1609X50X30LL10T20  3275.000      1875.000      90       DNP                                                                                                                                                                                     
P5         TSW-102-07-S-S               TopLayer SMTC-TSW-102-07-S-S    4550.000      1800.000      0        "Male Header, Pitch 2.54 mm, 1 x 2 Position, Height 8.38 mm, Tail Length 2.54 mm, -55 to 125 degC, RoHS, Bulk"                                                                          
J14        PJ-047A                      TopLayer FP-PJ-047A-MFG         4025.000      1267.362      180      "CONN PWR JACK 2X5.5MM SOLDER"                                                                                                                                                          
JP2        PIN_HEADER_2X8               TopLayer PIN_HEADER_2X8_2.54MM  9200.000      4800.000      0        ""                                                                                                                                                                                      
R18        "RES SMD 100K OHMS 0603"     TopLayer RESC1609X50X30LL10T20  8510.000      5470.000      360      ""                                                                                                                                                                                      
R7         DNP                          TopLayer RESC1609X50X30LL10T20  8390.000      5470.000      360      DNP                                                                                                                                                                                     
R19_LS7    DNP                          TopLayer RESC1609X50X30LL10T20  8390.000      2030.000      360      DNP                                                                                                                                                                                     
R19_LS6    DNP                          TopLayer RESC1609X50X30LL10T20  8390.000      2490.000      360      DNP                                                                                                                                                                                     
R19_LS5    DNP                          TopLayer RESC1609X50X30LL10T20  8390.000      2950.000      360      DNP                                                                                                                                                                                     
R19_LS4    DNP                          TopLayer RESC1609X50X30LL10T20  8390.000      3410.000      360      DNP                                                                                                                                                                                     
R19_LS3    DNP                          TopLayer RESC1609X50X30LL10T20  8390.000      3870.000      360      DNP                                                                                                                                                                                     
R19_LS2    DNP                          TopLayer RESC1609X50X30LL10T20  8390.000      4330.000      360      DNP                                                                                                                                                                                     
